date,Korea,Australia,China,India,Indonesia,Russia,South Africa,Switzerland,United States
2000,73.11,74.38,80.97,54.34,44.02,30.76,59.9,91.75,78.97
2001,76.09,77.65,81.55,56.39,49.08,37.37,63.32,92.66,81.2
2002,78.19,79.97,80.96,58.82,54.92,43.27,69.33,93.25,82.49
2003,80.94,82.15,81.87,61.05,58.63,49.18,73.27,93.85,84.36
2004,83.84,84.08,85,63.35,62.18,54.53,72.76,94.6,86.62
2005,86.15,86.34,86.51,66.04,68.68,61.45,74.26,95.71,89.56
2006,88.08,89.41,87.94,69.87,77.69,67.39,76.67,96.72,92.45
2007,90.32,91.49,92.17,74.32,82.67,73.46,81.4,97.43,95.09
2008,94.54,95.47,97.63,80.53,91.12,83.83,89.61,99.8,98.74
2009,97.14,97.16,96.92,89.29,95.12,93.59,96.07,99.32,98.39
2010,100,100,100,100,100,100,100,100,100
2011,104.03,103.3,105.55,108.91,105.36,108.44,105,100.23,103.16
2012,106.3,105.12,108.32,119.24,109.86,113.94,111.01,99.54,105.29
2013,107.68,107.7,111.16,131.18,116.91,121.64,117.43,99.32,106.83
2014,109.06,110.38,113.29,139.92,124.39,131.16,124.63,99.31,108.57
2015,109.83,112.04,114.92,146.79,132.3,151.53,130.29,98.17,108.7
2016,110.89,113.48,117.22,154.05,136.97,162.2,138.85,97.75,110.07
2017,113.05,115.69,119.09,159.18,142.18,168.18,146.05,98.27,112.41
2018,114.72,117.9,121.56,165.45,146.73,173.02,152.65,99.19,115.16
2019,115.16,119.8,125.08,171.62,151.18,180.75,158.94,99.55,117.24
2020,115.78,120.81,128.11,182.99,154.08,186.86,164.04,98.82,118.69
